P,S,Problem,Search algorithm,Actions,Expansions,Goal Tests,New Nodes,Plan length,Time elapsed in seconds
1,1,Air Cargo Problem 1,breadth_first_search,20,43,56,178,6,0.03695009100192692
1,10,Air Cargo Problem 1,astar_search with h_pg_maxlevel,20,43,45,180,6,0.7543623739984469
1,11,Air Cargo Problem 1,astar_search with h_pg_setlevel,20,33,35,138,6,1.8728496529984113
1,2,Air Cargo Problem 1,depth_first_graph_search,20,21,22,84,20,0.012360248001641594
1,3,Air Cargo Problem 1,uniform_cost_search,20,60,62,240,6,0.043507645998033695
1,4,Air Cargo Problem 1,greedy_best_first_graph_search with h_unmet_goals,20,7,9,29,6,0.008374170000024606
1,5,Air Cargo Problem 1,greedy_best_first_graph_search with h_pg_levelsum,20,6,8,28,6,0.6025584820017684
1,6,Air Cargo Problem 1,greedy_best_first_graph_search with h_pg_maxlevel,20,6,8,24,6,0.29487222799798474
1,7,Air Cargo Problem 1,greedy_best_first_graph_search with h_pg_setlevel,20,6,8,28,6,1.2142864119996375
1,8,Air Cargo Problem 1,astar_search with h_unmet_goals,20,50,52,206,6,0.07977947399922414
1,9,Air Cargo Problem 1,astar_search with h_pg_levelsum,20,28,30,122,6,0.8191061920006177
2,1,Air Cargo Problem 2,breadth_first_search,72,3343,4609,30503,9,0.5942756869990262
2,10,Air Cargo Problem 2,astar_search with h_pg_maxlevel,72,2887,2889,26594,9,55.0114857410008
2,11,Air Cargo Problem 2,astar_search with h_pg_setlevel,72,1037,1039,9605,9,249.49401968900202
2,2,Air Cargo Problem 2,depth_first_graph_search,72,624,625,5602,619,0.8941138070003944
2,3,Air Cargo Problem 2,uniform_cost_search,72,5154,5156,46618,9,1.1726190299996233
2,4,Air Cargo Problem 2,greedy_best_first_graph_search with h_unmet_goals,72,17,19,170,9,0.05531933299789671
2,5,Air Cargo Problem 2,greedy_best_first_graph_search with h_pg_levelsum,72,9,11,86,9,1.8040238649991807
2,6,Air Cargo Problem 2,greedy_best_first_graph_search with h_pg_maxlevel,72,27,29,249,9,1.4789444390007702
2,7,Air Cargo Problem 2,greedy_best_first_graph_search with h_pg_setlevel,72,9,11,84,9,4.433382990002428
2,8,Air Cargo Problem 2,astar_search with h_unmet_goals,72,2467,2469,22522,9,1.2496661909972318
2,9,Air Cargo Problem 2,astar_search with h_pg_levelsum,72,357,359,3426,9,24.29118952600038
3,1,Air Cargo Problem 3,breadth_first_search,88,14663,18098,129625,12,1.9117692969994096
3,10,Air Cargo Problem 3,astar_search with h_pg_maxlevel,88,9580,9582,86312,12,399.3667100420025
3,11,Air Cargo Problem 3,astar_search with h_pg_setlevel,88,3423,3425,31596,12,1071.5082076790022
3,2,Air Cargo Problem 3,depth_first_graph_search,88,408,409,3364,392,0.5143014819987002
3,3,Air Cargo Problem 3,uniform_cost_search,88,18510,18512,161936,12,3.3403025580009853
3,4,Air Cargo Problem 3,greedy_best_first_graph_search with h_unmet_goals,88,25,27,230,15,0.07999963499969454
3,5,Air Cargo Problem 3,greedy_best_first_graph_search with h_pg_levelsum,88,14,16,126,14,3.5490401960014424
3,6,Air Cargo Problem 3,greedy_best_first_graph_search with h_pg_maxlevel,88,21,23,195,13,2.0803857869977946
3,7,Air Cargo Problem 3,greedy_best_first_graph_search with h_pg_setlevel,88,35,37,345,17,18.207957744998566
3,8,Air Cargo Problem 3,astar_search with h_unmet_goals,88,7388,7390,65711,12,2.3041089849975833
3,9,Air Cargo Problem 3,astar_search with h_pg_levelsum,88,369,371,3403,12,42.360998358999495
4,1,Air Cargo Problem 4,breadth_first_search,104,99736,114953,944130,14,9.10933788300099
4,10,Air Cargo Problem 4,astar_search with h_pg_maxlevel,104,62077,62079,599376,14,3729.6655213589984
4,11,Air Cargo Problem 4,astar_search with h_pg_setlevel,104,22606,22608,224229,14,11380.470304527
4,2,Air Cargo Problem 4,depth_first_graph_search,104,25174,25175,228849,24132,1742.4509155759988
4,3,Air Cargo Problem 4,uniform_cost_search,104,113339,113341,1066413,14,13.652309875997162
4,4,Air Cargo Problem 4,greedy_best_first_graph_search with h_unmet_goals,104,29,31,280,18,0.08422715400229208
4,5,Air Cargo Problem 4,greedy_best_first_graph_search with h_pg_levelsum,104,17,19,165,17,4.620101190001151
4,6,Air Cargo Problem 4,greedy_best_first_graph_search with h_pg_maxlevel,104,56,58,580,17,7.163085437001428
4,7,Air Cargo Problem 4,greedy_best_first_graph_search with h_pg_setlevel,104,107,109,1164,23,65.89428123100151
4,8,Air Cargo Problem 4,astar_search with h_unmet_goals,104,34330,34332,328509,14,6.567931157002022
4,9,Air Cargo Problem 4,astar_search with h_pg_levelsum,104,1208,1210,12210,15,189.33037384400086
