P,S,Actions,Expansions,Goal Tests,New Nodes,Plan length,Time elapsed in seconds
p1,s1,20,43,56,178,6,0.01965240000004087
p1,s10,20,43,45,180,6,0.343118099999856
p1,s11,20,33,35,138,6,0.9217622000001029
p1,s2,20,21,22,84,20,0.00894279999988612
p1,s3,20,60,62,240,6,0.024952100000064092
p1,s4,20,7,9,29,6,0.004028999999945881
p1,s5,20,6,8,28,6,0.23699759999999515
p1,s6,20,6,8,24,6,0.13018080000006194
p1,s7,20,6,8,28,6,0.5704937999998947
p1,s8,20,50,52,206,6,0.02571540000008099
p1,s9,20,28,30,122,6,0.5071844999999939
p2,s1,72,3343,4609,30503,9,0.2921887999998489
p2,s10,72,2887,2889,26594,9,26.41442669999992
p2,s11,72,1037,1039,9605,9,98.16139750000002
p2,s2,72,624,625,5602,619,0.5290172999998504
p2,s3,72,5154,5156,46618,9,0.5474985999999262
p2,s4,72,17,19,170,9,0.03131900000016685
p2,s5,72,9,11,86,9,0.8792074999998931
p2,s6,72,27,29,249,9,0.7266729999998915
p2,s7,72,9,11,84,9,2.2095773999999437
p2,s8,72,2467,2469,22522,9,0.6123165999999856
p2,s9,72,357,359,3426,9,11.126661199999944
p3,s1,88,14663,18098,129625,12,0.8581420000000435
p3,s10,88,9580,9582,86312,12,153.93782929999998
p3,s11,88,3423,3425,31596,12,427.92823440000006
p3,s2,88,408,409,3364,392,0.23960110000007262
p3,s3,88,18510,18512,161936,12,1.2738130000000183
p3,s4,88,25,27,230,15,0.03554450000001452
p3,s5,88,14,16,126,14,1.5522167999999965
p3,s6,88,21,23,195,13,0.940329299999803
p3,s7,88,35,37,345,17,7.448347700000113
p3,s8,88,7388,7390,65711,12,0.9594967999998971
p3,s9,88,369,371,3403,12,17.20924080000009
p4,s1,104,99736,114953,944130,14,4.943565999999919
p4,s10,104,62077,62079,599376,14,1677.8132815
p4,s11,104,22606,22608,224229,14,4649.615493699999
p4,s2,104,25174,25175,228849,24132,697.2099391000002
p4,s3,104,113339,113341,1066413,14,7.770577400000093
p4,s4,104,29,31,280,18,0.042110000000320724
p4,s5,104,17,19,165,17,2.23350819999996
p4,s6,104,56,58,580,17,1.853714399999717
p4,s7,104,107,109,1164,23,28.85218050000003
p4,s8,104,34330,34332,328509,14,3.8185496999999486
p4,s9,104,1208,1210,12210,15,87.08308099999977
